iter	MultiClass
0	0.9398561436
1	0.8253581735
2	0.738639208
3	0.6668612609
4	0.6112182203
5	0.5643127129
6	0.5243585558
7	0.4892534106
8	0.4571584819
9	0.4324592253
10	0.4098579521
11	0.3916231793
12	0.3724858573
13	0.3563194635
14	0.3420273103
15	0.3297293884
16	0.316886643
17	0.3051883675
18	0.2946740215
19	0.2878530518
20	0.279690948
21	0.2729502755
22	0.2652888258
23	0.2579591216
24	0.2522962859
25	0.2471551518
26	0.2419037521
27	0.2366693654
28	0.2332447932
29	0.2278922062
30	0.2244688891
31	0.2196642441
32	0.2166947207
33	0.2133637547
34	0.2098177663
35	0.2064178451
36	0.2016023459
37	0.1986342724
38	0.1942876543
39	0.1909230031
40	0.1885824575
41	0.1863191983
42	0.1848528579
43	0.1828957458
44	0.1811976486
45	0.17858936
46	0.1748894507
47	0.173932865
48	0.1725206065
49	0.1713436449
50	0.1690330753
51	0.1657551126
52	0.163662834
53	0.1613120076
54	0.1595260903
55	0.1586371386
56	0.1566590046
57	0.155563959
58	0.1539267743
59	0.151782826
60	0.1499897338
61	0.1484589792
62	0.1465591186
63	0.1449862069
64	0.1434951067
65	0.1426886093
66	0.1416731392
67	0.1400528017
68	0.1386136172
69	0.1364157287
70	0.1349615619
71	0.132936457
72	0.1319956815
73	0.1312923759
74	0.1297288464
75	0.1287232002
76	0.1275857911
77	0.1260689066
78	0.1249843209
79	0.1229786835
80	0.1222512226
81	0.1213943512
82	0.120660289
83	0.1191840246
84	0.1184640898
85	0.1173883619
86	0.1165001426
87	0.1152808892
88	0.1140105099
89	0.1133139735
90	0.1123336923
91	0.1111860144
92	0.1105256117
93	0.1092822645
94	0.1087614479
95	0.1080021748
96	0.107438241
97	0.106741949
98	0.1057786492
99	0.1049180619
100	0.1041366504
101	0.1031562803
102	0.1022765401
103	0.1014349267
104	0.1004275244
105	0.09987945481
106	0.09919143999
107	0.0985286715
108	0.09786703089
109	0.09749969655
110	0.09658342623
111	0.09591481289
112	0.09523140875
113	0.09436417434
114	0.0936767808
115	0.09296149927
116	0.09231791537
117	0.09147476384
118	0.0910096236
119	0.09065879999
120	0.09027323774
121	0.08965917298
122	0.08930258299
123	0.08868326125
124	0.08835163552
125	0.0877169907
126	0.08733141428
127	0.08690549313
128	0.08614402312
129	0.08561035469
130	0.0851438276
131	0.08466053623
132	0.08430366493
133	0.08399926889
134	0.08315414016
135	0.08258418568
136	0.08204620869
137	0.08170517087
138	0.08124704253
139	0.08080049501
140	0.08003201939
141	0.07967853479
142	0.07897244594
143	0.07847699956
144	0.07770558913
145	0.07698241464
146	0.07656316088
147	0.07615764598
148	0.07567288401
149	0.07524017145
150	0.07491327294
151	0.07445224946
152	0.0739936109
153	0.07372821936
154	0.07304507484
155	0.07270923383
156	0.0723198914
157	0.07199589394
158	0.07152009268
159	0.07123534633
160	0.07071629616
161	0.07048922244
162	0.07000091073
163	0.06974514375
164	0.06933432591
165	0.06904785463
166	0.06861138266
167	0.068125749
168	0.06791946925
169	0.06754206729
170	0.06729326368
171	0.06671366729
172	0.06639875606
173	0.06610899601
174	0.06550443542
175	0.06514220736
176	0.06469642007
177	0.06456576674
178	0.06416079514
179	0.06379013497
180	0.06342516313
181	0.06277309709
182	0.06251153561
183	0.06230225494
184	0.06218822575
185	0.06185369924
186	0.06167343226
187	0.06144559632
188	0.0611474614
189	0.06096542542
190	0.06062232119
191	0.06046086282
192	0.06024875326
193	0.06007351588
194	0.0597370476
195	0.05931494969
196	0.05911622075
197	0.05866335127
198	0.05846963135
199	0.05808314139
200	0.0576500655
201	0.05747509196
202	0.05722224242
203	0.05707870998
204	0.05668769052
205	0.05639371901
206	0.05603928654
207	0.05563126192
208	0.05526953582
209	0.05498692059
210	0.05471473814
211	0.0545768928
212	0.05443454051
213	0.05423612907
214	0.05406543616
215	0.05373434212
216	0.05358654915
217	0.05331979347
218	0.0529835419
219	0.05262616132
220	0.05242091739
221	0.05217024658
222	0.05200345498
223	0.05174720808
224	0.05146944851
225	0.05113010519
226	0.05089962647
227	0.05063234916
228	0.05041141901
229	0.05014360384
230	0.04980478102
231	0.04964212976
232	0.0493977752
233	0.04920314413
234	0.04893104085
235	0.04880497862
236	0.04861877143
237	0.04853144192
238	0.0481923272
239	0.04803911053
240	0.04791144888
241	0.0476726073
242	0.04746834954
243	0.04728763723
244	0.04692290015
245	0.04649814954
246	0.04635872807
247	0.04617102947
248	0.04603348777
249	0.04582892389
250	0.04562811566
251	0.04553135555
252	0.04524175268
253	0.04508832868
254	0.04489864212
255	0.04475328888
256	0.0445105791
257	0.04444666118
258	0.04424053526
259	0.04405110097
260	0.04380258922
261	0.04368925327
262	0.04349718684
263	0.04331147938
264	0.04307505349
265	0.04285888111
266	0.04260340992
267	0.04234222023
268	0.04214636842
269	0.04196307895
270	0.04178528252
271	0.0415139446
272	0.04138316422
273	0.04118105863
274	0.04106613408
275	0.04100668011
276	0.04091463504
277	0.04079302458
278	0.04071358891
279	0.04056832859
280	0.04039116781
281	0.04034479117
282	0.04024038313
283	0.04004449386
284	0.03994337233
285	0.03972193799
286	0.03957937965
287	0.03941518586
288	0.03926674581
289	0.03912947064
290	0.03905693605
291	0.03884156463
292	0.0386287839
293	0.03851302107
294	0.03832026648
295	0.03822744241
296	0.03803936384
297	0.03794613196
298	0.03785564566
299	0.03774435334
300	0.03759334262
301	0.03746713326
302	0.03737480576
303	0.03715390182
304	0.03697746755
305	0.03687597016
306	0.03674155385
307	0.03649978876
308	0.03639569976
309	0.03626358925
310	0.03612217635
311	0.03599318328
312	0.0358553996
313	0.03578849812
314	0.03568024538
315	0.03562185391
316	0.0354415253
317	0.03530580837
318	0.0352597359
319	0.03513892506
320	0.03508447924
321	0.03497540616
322	0.03486385606
323	0.03476938528
324	0.03468662325
325	0.0345969125
326	0.03440502544
327	0.03430889326
328	0.03416290529
329	0.03407401263
330	0.03390453891
331	0.03381544983
332	0.03373749866
333	0.0336529976
334	0.03352780086
335	0.03338634873
336	0.03322874889
337	0.03313367362
338	0.0330386128
339	0.03294891783
340	0.03290089713
341	0.03273521378
342	0.03262756881
343	0.03245101287
344	0.03233940501
345	0.0322446317
346	0.03210312696
347	0.0319838462
348	0.03190397528
349	0.031745162
350	0.0316175489
351	0.03159166557
352	0.03148587574
353	0.031378432
354	0.03127567782
355	0.03111272784
356	0.03104471375
357	0.03097607559
358	0.03087963515
359	0.0307848511
360	0.03072772864
361	0.03056153025
362	0.03049843433
363	0.03040359829
364	0.03033295679
365	0.03023804238
366	0.03014216268
367	0.03000005717
368	0.02989632848
369	0.02982034401
370	0.02976322284
371	0.02962125976
372	0.0295897285
373	0.02953314141
374	0.02945620008
375	0.02931068681
376	0.02925146284
377	0.02915084779
378	0.02902516148
379	0.02892221007
380	0.02884298032
381	0.02877151927
382	0.02871127582
383	0.02858157408
384	0.02846101216
385	0.02836734532
